epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,21060.4,0.38745,0.66244,0.28464,0.82037,0.99042,0.99002,0.9939,0.93466,0.99042,0.99002,0.99384,0.58792,0.35911,0.61864,0.20417,0.80031,0.00056023,0.00056023,0.00056023
132,21203.6,0.38923,0.67707,0.28044,0.82146,0.98987,0.98921,0.99401,0.93252,0.98987,0.98921,0.99403,0.58975,0.36038,0.61724,0.20471,0.80024,0.000549624,0.000549624,0.000549624
133,21346.6,0.39185,0.67769,0.28767,0.82274,0.99039,0.98774,0.99394,0.9327,0.99039,0.98774,0.99396,0.58808,0.36077,0.61807,0.20511,0.79989,0.000539535,0.000539535,0.000539535
134,21489.5,0.3834,0.66298,0.28068,0.81925,0.99073,0.98792,0.99387,0.93475,0.99073,0.98792,0.99387,0.58825,0.36172,0.6185,0.20556,0.80029,0.000529965,0.000529965,0.000529965
135,21632,0.37916,0.65901,0.28023,0.81875,0.99135,0.98812,0.99393,0.9357,0.99135,0.98812,0.99393,0.59106,0.3623,0.61701,0.20403,0.80061,0.00052092,0.00052092,0.00052092
136,21775.3,0.37984,0.6676,0.27583,0.81626,0.99062,0.98802,0.99389,0.93571,0.99062,0.98802,0.99389,0.59153,0.36154,0.61734,0.20394,0.80025,0.000512403,0.000512403,0.000512403
137,21920.1,0.37808,0.6539,0.27455,0.81375,0.99251,0.98623,0.99361,0.93789,0.99251,0.98623,0.99361,0.59461,0.3618,0.61763,0.20402,0.79984,0.000504418,0.000504418,0.000504418
138,22065.5,0.37834,0.64912,0.2753,0.81441,0.99221,0.98623,0.99355,0.93845,0.99221,0.98623,0.99355,0.59494,0.36281,0.61722,0.20424,0.79953,0.000496968,0.000496968,0.000496968
139,22210.6,0.3794,0.65439,0.27875,0.81728,0.99252,0.98623,0.99354,0.93744,0.99252,0.98623,0.99354,0.59291,0.36208,0.61678,0.20535,0.79921,0.000490056,0.000490056,0.000490056
140,22353.8,0.37884,0.65464,0.27393,0.8179,0.99249,0.98607,0.99359,0.93703,0.99249,0.98607,0.99359,0.5929,0.3617,0.61864,0.20457,0.79854,0.000483687,0.000483687,0.000483687
141,22496.9,0.32175,0.55079,0.20013,0.78961,0.99213,0.98721,0.9938,0.93947,0.99213,0.98721,0.99369,0.5918,0.35894,0.61637,0.20314,0.79797,0.000477862,0.000477862,0.000477862
142,22639.7,0.31826,0.54749,0.19704,0.78803,0.99426,0.98616,0.9942,0.94076,0.99426,0.98616,0.99403,0.59306,0.35824,0.61464,0.20133,0.79748,0.000472584,0.000472584,0.000472584
143,22783.8,0.31778,0.54066,0.19784,0.7854,0.99356,0.9842,0.99426,0.93937,0.99356,0.9842,0.99417,0.59592,0.35841,0.6108,0.20047,0.79754,0.000467855,0.000467855,0.000467855
144,22928.2,0.31544,0.53953,0.19284,0.78659,0.9962,0.98489,0.99446,0.94015,0.9962,0.98489,0.99441,0.5981,0.35714,0.60662,0.19936,0.79733,0.000463678,0.000463678,0.000463678
145,23073,0.31401,0.53041,0.1945,0.78888,0.99582,0.98517,0.99452,0.94277,0.99582,0.98517,0.99452,0.59879,0.35531,0.60262,0.19916,0.79734,0.000460054,0.000460054,0.000460054
146,23217.3,0.31516,0.54147,0.19504,0.79006,0.99368,0.98538,0.99445,0.94328,0.99368,0.98538,0.99445,0.6005,0.35533,0.60006,0.19732,0.79705,0.000456985,0.000456985,0.000456985
147,23361.5,0.31279,0.53449,0.1937,0.78688,0.99168,0.98847,0.99448,0.94433,0.99168,0.98847,0.99448,0.59861,0.35406,0.5975,0.1979,0.79678,0.000454472,0.000454472,0.000454472
148,23503,0.3113,0.52691,0.19447,0.7875,0.99135,0.98608,0.9944,0.94496,0.99135,0.98608,0.9944,0.59834,0.35156,0.59652,0.19824,0.79584,0.000452516,0.000452516,0.000452516
149,23645,0.31151,0.53682,0.19434,0.78676,0.99151,0.98715,0.99442,0.94481,0.99151,0.98715,0.99439,0.59897,0.35154,0.59395,0.19641,0.79654,0.000451118,0.000451118,0.000451118
150,23786.4,0.3074,0.52757,0.19222,0.7864,0.99373,0.99078,0.99475,0.94616,0.99373,0.99078,0.99475,0.59847,0.35135,0.59281,0.19505,0.79674,0.00045028,0.00045028,0.00045028
